,name,season
317,harvey wallbanger,spring
318,hawaiian iced tea,winter
319,hawaiian margarita,winter
320,hello kitty,winter
321,hemingway daiquiri,fall
322,hennessy hot coco,winter
323,highball,fall
324,highland margarita,fall
325,holiday hopper,winter
326,holiday spice,winter
327,hollywood,winter
328,hollywood martini,winter
329,homecoming caipirinha,fall
330,homemade eggnog,winter
331,honey deuce,summer
332,honeymoon cocktail,summer
333,horny bull,fall
334,horse's neck,spring
335,hot apple pie,fall
336,hot apple toddy,spring
337,hot buttered rum,winter
338,hot buttered whiskey,winter
339,hot cinn apple toddy,spring
340,hot gin punch,summer
341,hot ginger toddy,winter
342,hot gold apple cider,fall
343,hot peppermint patty,winter
344,hot toddy,fall
345,hpnotiq margarita,winter
346,hunter's cocktail,fall
347,hurricane,winter
348,iceberg,fall
349,idonis,spring
350,imperial,spring
351,imperial fizz,winter
352,in and out lemontini,fall
353,in and out martini,fall
354,independence day mojito,summer
355,inside scoop,fall
356,irish cactus,fall
357,irish coffee,fall
358,irish encounter,spring
359,irish eyes,spring
360,irish gold,fall
361,irish ice,spring
362,irish martini,fall
363,irish punch,winter
364,irish tea party,spring
365,irish winter,summer
366,italian coffee,summer
367,jack o'lantern,fall
368,jack rose,fall
369,jalapeno margarita,fall
370,jalisco high tea,fall
371,jamaica margarita,fall
372,japanese cherry blossom margarita,summer
373,japanese cocktail,fall
374,japanese slipper,winter
375,jean harlow cocktail,spring
376,jellyfish,fall
377,jet pilot,winter
378,jim beam fruit punch,winter
379,john collins,winter
380,jolly rancher,winter
381,juan collins,winter
382,kamikaze,winter
383,kappa colada,summer
384,kentucky coffee,summer
385,kentucky kiss,fall
386,key lime pie martini,winter
387,kir,spring
388,kiwi martini,fall
389,knickerbocker,winter
390,kumquat-ginger caipirinha,summer
391,la coloniale,summer
392,la vie en rouge,spring
393,lady liberty,winter
394,lagoon punch,fall
395,lavender lemon drop,fall
396,lavender martini,fall
397,lavender sapphire collins,spring
398,leap year,winter
399,lei maker,winter
400,lemon cake,fall
401,lemon drop martini,winter
402,leprechaun,fall
403,liberal cocktail,fall
404,licorice stick,spring
405,liquid bourbon ball,fall
406,liquid lust,summer
407,lita grey,spring
408,long beach tea,winter
409,long island iced tea,winter
410,lotus blossom,summer
411,lounge lizard,spring
412,love potion #9,fall
413,lychee martini,winter
414,lynchburg lemonade,summer
415,mad eye martini,winter
416,mad hatter's tea party,winter
417,madison avenue cocktail,winter
418,madras,winter
419,mai tai,winter
420,malacca flip,fall
421,mamie taylor,fall
422,mango ice tea,winter
423,mango margarita,summer
424,mango spice,fall
425,manhattan,fall
426,manhattan 101,summer
427,manhattan love story,fall
428,margarita,winter
429,marriage of figaro,fall
430,martinez,fall
431,martini,spring
432,mary pickford cocktail,winter
433,massey cocktail,fall
434,mastermix,fall
435,may day,winter
436,melon ball drop,fall
437,melon cucumber-tini,spring
438,melon margarita,winter
439,melon patch,winter
440,melon splash,fall
441,merry christmas,winter
442,metropolitan,fall
443,mexi-tini,spring
444,miami iced tea,winter
445,michelada,spring
446,midnight martini,spring
447,midnight snowstorm,winter
448,mile high manhattan,fall
449,milk and honey,winter
450,million dollar cocktail,summer
451,millionaire,summer
452,millionaire cocktail no. 1,winter
453,mimosa,spring
454,mint chocochata martini,spring
455,mint julep,summer
456,mistletoe martini,winter
457,mochatini,summer
458,mojito,winter
459,monkey gland,summer
460,morning glory,fall
461,moroccan cocktail,winter
462,moscow mule,winter
463,mound bar,summer
464,mrs. claus' wildside punch,winter
465,muddled rebuttal,summer
466,mudslide,fall
467,mulled pomegranate warmer,winter
468,naked lady,winter
469,napoleon,spring
470,natural vanilla martini,fall
471,navy grog,winter
472,negroni,winter
473,nevada cocktail,winter
474,new england sour,fall
475,new old-fashioned,summer
476,new orleans fizz,fall
477,new york cocktail,summer
478,night cap,spring
479,norina,spring
480,northern lights,winter
481,nuts and berries,fall
482,nutty irishman,spring
483,nutty martini,fall
484,obituary cocktail,summer
485,old thyme sour,summer
486,old-fashioned,summer
487,orange blossom,summer
488,orange margarita,winter
489,orange martini,summer
490,orchard catch cooler,winter
491,oriental cocktail,fall
492,packers punch,winter
493,painkiller,summer
494,paloma,winter
495,pama martini,spring
496,paradise,winter
497,park avenue,summer
498,passion cocktail,fall
499,passion pearl,winter
500,patron grapefruit,winter
501,patron pineapple,winter
502,patron pomegranate,fall
503,paulista,winter
504,peach candy corn cocktail,fall
505,peach cobbler,summer
506,peach margarita,summer
507,peach pomegranate holiday martini,winter
508,peach punch,spring
509,pear naked sailor,summer
510,pearl harbor,winter
511,peartini,winter
512,peary bird,fall
513,pegu club cocktail,fall
514,peppermelon,winter
515,peppermint patty,fall
516,perfect manhattan,fall
517,perfect martini,fall
518,perfect storm,fall
519,pimm's cup,summer
520,pina colada,winter
521,pineapple and sage gimlet,winter
522,pineapple chili margarita,winter
523,pineapple mimosa,winter
524,pineapple mojito,summer
525,pink elephant,winter
526,pink flamingo,fall
527,pink gin,winter
528,pink honey martini,summer
529,pink lady,fall
530,pink squirrel,fall
531,pisco sour,winter
532,plantation fever,fall
533,planter's punch,winter
534,playoff punch,winter
535,plumdog millionaire,summer
536,poinsettia,winter
537,poinsettia punch,winter
538,polished princess,fall
539,pomegranate gin fizz,fall
540,pomegranate margarita,winter
541,pomegranate poinsettia,winter
542,pot of gold,spring
543,presbyterian,winter
544,prickly pear margarita,winter
545,prohibidos,fall
546,pumpkin fever,fall
547,pumpkin martini,fall
548,pumpkin old-fashioned,fall
549,pumpkin pie martini,fall
550,pumpkin spice,winter
551,pumpkin spice martini,fall
552,purple haze,winter
553,purple viking,winter
554,raspberita,fall
555,raspberry bellini,fall
556,raspberry caipirinha,winter
557,raspberry margarita,winter
558,raspberry mojito,winter
559,raspberry peach cobbler,spring
560,raspberry press,fall
561,raven,spring
562,red and yellow,winter
563,red beer,spring
564,red carpet,fall
565,red carpet glamour,winter
566,red lotus,winter
567,red over heels,fall
568,red pepper sangrita margarita,spring
569,red stag lemonade,winter
570,red velvet shortcake,fall
571,reposado old-fashioned,spring
572,rhett butler,winter
573,rhubarb collins,summer
574,rhubarb-rosemary daiquiri,winter
575,rhyme and reason,fall
576,roasted toasted almond,fall
577,rob roy,fall
578,robert burns,summer
579,rock and rye,spring
580,rock lobster,winter
581,rocky cucumber,summer
582,rooster cocktail,spring
583,root beer float,fall
584,rosangel margarita,summer
585,rose,summer
586,rose berry bliss,spring
587,rose martini,fall
588,royal smash,fall
589,royal-tea,winter
590,ruby negroni,winter
591,ruby queen,winter
592,ruby rum sunrise,summer
593,rum and coke,fall
594,rum runner,winter
595,rustic manhattan,spring
596,rusty nail,spring
597,sabai sabai,winter
598,sage lady,winter
599,saketini,fall
600,salty dog,fall
601,san francisco cocktail,fall
602,sangria,winter
603,sapphire alpine,winter
604,sapphire martini,fall
605,saratoga cocktail,summer
606,satan's whiskers,summer
607,sazerac,spring
608,scarlet o'hara,fall
609,scorpion,summer
610,scotch and soda,fall
611,scotch sour,fall
612,screaming viking,fall
613,screwdriver,fall
614,sea breeze,winter
615,seven and seven,spring
616,sex on the beach,summer
617,shamrock shaker,spring
618,shamrocker,spring
619,shandy,summer
620,sherry cobbler,winter
621,shiso mojito,summer
622,sidecar,fall
623,silver sangria,winter
624,singapore sling,fall
625,skeleton key,fall
626,skeletons in your closet,winter
627,sloe screw,fall
628,smith and kearns,winter
629,smoked rose,fall
630,smoky martini,fall
631,sneaky pete,fall
632,snickertini,fall
633,snow ball,winter
634,snow honey,summer
635,snowshoe grog,fall
636,soho,winter
637,sombrero,fall
638,somrus fizz,summer
639,soul kiss,summer
640,sour patch margarita,winter
641,sour sunrise,fall
642,spanish harlem,fall
643,sparkling shamrock,spring
644,speranza,summer
645,spiced passion,spring
646,spiced pear caipirini,summer
647,spiced pumpkin,fall
648,spiced pumpkin martini,fall
649,spiced silver bell,winter
650,spicy paloma,fall
651,spider's kiss,fall
652,star cocktail,spring
653,steelers cider,summer
654,stinger,fall
655,stone sour,summer
656,stone wall,summer
657,strawberry berryoska,summer
658,strawberry cure,spring
659,strawberry daiquiri,summer
660,strawberry gin and tonic,spring
661,strawberry kiss,winter
662,strawberry margarita,summer
663,summer breeze,summer
664,summer tea,summer
665,summertime fruit punch lemonade,summer
666,surfer on acid,winter
667,surprised cocktail,winter
668,swamp water surprise,winter
669,sweet heat,fall
670,sweet meat,fall
671,talking monkey,summer
672,tamarind and tequila,spring
673,tamarind margarita,fall
674,tamarind-pineapple margarita,winter
675,tangerine margarita,winter
676,tanqueray almond,winter
677,tea tini,winter
678,tequila sunrise,fall
679,tequila sunrise margarita,summer
680,tequiliano,fall
681,tequini,fall
682,texas farm nog,winter
683,texas tea,fall
684,thanksgiving cider,fall
685,thanksgiving cocktail,fall
686,tickled pink,fall
687,toffee apple,spring
688,tom and jerry,winter
689,tom collins,spring
690,tomojito,fall
691,tornado,summer
692,triple espresso martini,winter
693,trojan horse,spring
694,trophy margarita,fall
695,tully 10 cider,fall
696,tully tea,fall
697,tuscan pear,winter
698,tuxedo cocktail,fall
699,twentieth century,fall
700,twist and shout,winter
701,uv liberty,summer
702,uv pink flamingo,fall
703,valencia cocktail,winter
704,vampire kiss martini,fall
705,vampire's kiss,winter
706,vanilla latte,fall
707,vanilla rose,spring
708,veev treetini,fall
709,vegan eggnog,summer
710,velvet hammer,spring
711,vermouth cassis,fall
712,vertigo,spring
713,very berry cosmo,winter
714,vesper martini,fall
715,victoria's secret,spring
716,vieux carre,fall
717,vodka collins,winter
718,vodka lemon sorbet,summer
719,vodka martini,fall
720,vodka red bull,fall
721,vodka tonic,winter
722,waldorf,summer
723,ward eight,fall
724,warm old-fashioned,winter
725,wasabi martini,fall
726,washington apple,winter
727,wassail,winter
728,waterloo sunset,fall
729,watermelon cosmo,fall
730,watermelon cucumber cooler,summer
731,watermelon margarita,fall
732,wedding cake,winter
733,whipped sunset,fall
734,whiskey smash,spring
735,whiskey sour,fall
736,white carnation,spring
737,white chocolatini,winter
738,white christmas,winter
739,white christmas dream,winter
740,white peach julep,winter
741,white peach sangria,spring
742,white russian,spring
743,widow maker,fall
744,wine spritzer,winter
745,winter cocktail,winter
746,winter warmer mulled sangria,winter
747,witch hunt,spring
748,woo woo,fall
749,yaka hula hickey dula,winter
750,yellow bird,winter
751,yellow submarine,winter
752,zesty irishman,fall
753,zombie,winter
754,zombie punch,fall
755,zombie's brew,winter
