base_spirits,name,url,name_words,description,image,ingredients,Length
['vodka'],alibi,https://www.thespruceeats.com/stoli-alibi-cocktail-recipe-761180,['alibi'],"If you love the flavor of a Moscow Mule, then you may really like this Stoli Alibi cocktail recipe. It is the same tasty combination of vodka and ginger, it just goes about it in a slightly different way. The Stoli Alibi is a very simple ginger-flavored drink that features Stolichnaya (popularly just called Stoli). This is one of those fantastic Russian vodkas that you can rely on to create great drinks. Where the Moscow Mule uses ginger beer for its ginger flavoring, the Stoli Alibi opts for a syrup. The ginger syrup is easy to make from scratch and brings in both a sweet and spicy element to the drink. When made with the best ingredients, the Stoli Alibi is an impressive, snappy vodka highball. Who knows, it may quickly become a new favorite!",https://www.thespruceeats.com/thmb/cdKuOfEmVp8-agcSKRhoJvn9dpY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/StoliAlibi-VodkaCocktail-5690633e5f9b58eba48e7b1e.jpg,"['1 ounce ginger simple syrup', '2 ounces Stolichnaya Vodka1 fresh lime', 'Splash of Club soda', 'Garnish: Lime twist']",4
['vodka'],almost a collins,https://www.thespruceeats.com/almost-a-collins-cocktail-recipe-760950,"['almost', 'a', 'collins']","A tasty and simple vodka cocktail, the ""almost a collins"" recipe is not quite a collins drink. However, its unique flavor combination is fantastic, so it gets a pass for breaking a few ""rules."" It is perfect for the colder months of the year and might be the ultimate blood orange cocktail. If you're a fan of the dark, sweet citrus, you'll thoroughly enjoy this drink. The recipe was created by the Snake Oil Cocktail Company in San Diego, California for Dry Soda Co. It pairs the clean, smooth vodka of Ketel One with blood orange and cinnamon. While the finished flavor may be difficult to imagine, the first sip will prove that it really does work. The name ""almost a collins"" references the similarities and differences of this drink to the popular vodka collins. Essentially, this recipe replaces the customary lemon with blood orange juice, plain syrup with cinnamon, and club soda with blood orange soda. It is a fun variation and can offer inspiration for similar substitutions to create your own custom cocktails.",https://www.thespruceeats.com/thmb/0L4OVnS4DUrzvPJx0GVIEejR-xE=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/DRYSoda-AlmostACollins-Cocktail-56a1749a3df78cf7726acbcb.jpg,"['1 1/2 ounces vodka (Ketel One)', '1 ounce blood orange juice', '1/2 ounce cinnamon simple syrup', '3 ounces blood orange soda (Dry Sparkling)', 'Garnish: blood orange wheel', 'Garnish: cinnamon stick']",6
['vodka'],amarula and eve,https://www.thespruceeats.com/amarula-and-eve-cocktail-recipe-760991,"['amarula', 'and', 'eve']","Fruity and creamy, the Amarula & Eve is a delicious cocktail that can serve as a dessert or a mood-setting drink for romantic occasions. The recipe features Amarula Cream, a South African cream liqueur flavored with the fruit of the marula tree. Most people compare it to Irish cream, but with a fruity twist, and it is a delight to drink. The nice part about the Amarula & Eve is that it is not overly creamy or sweet. The Amarula itself is nicely balanced against the cocktail's fruit flavors, especially the lychee. You'll also love that this drink mixes up quickly, so you can get on with your dinner.",https://www.thespruceeats.com/thmb/A9ZZBgfNgE6zjvz8MdPTqo0X8MY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Amarula-Eve-Cocktail-56a172585f9b58b7d0bf5cb9.jpg,"['1 1/2 ounces Amarula Cream', '1/2 ounce citrus vodka', '2 1/2 ounces lychee juice', '3/4 ounce grapefruit juice (ruby red)', 'Garnish: lychee fruit']",5
['gin'],american collins,https://www.thespruceeats.com/american-collins-cocktail-760054,"['american', 'collins']","I will often order a Tom Collins with Bombay Sapphire Gin anyway, but I love this idea of adding fruit to the mix. In this case, it is a combination of bing cherries and blueberries and it is simply a delight. Those two tiny fruits make a world of difference and add some zing to the classic cocktail, pairing wonderfully with this aromatic gin. If you like, there is another berry that makes an appearance in yet another ""patriotic"" cocktail. Those would be theraspberries in a Red, White, and Sapphire.",https://www.thespruceeats.com/thmb/cpr2ijEv9f9p8IZ0jd5Gl9LQUY8=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/AmericanCollins-492687393-56a171c03df78cf7726ab390.jpg,"['1 1/2 ounces Bombay Sapphire Gin', '3/4 ounce simple syrup', '1/2 ounce lemon juice', '4 bing cherries (pitted)', '8 blueberries', '8 ounces club soda', 'Garnish: 1 bing cherry', 'Garnish: lemon wheel']",8
['rum'],american dream,https://www.thespruceeats.com/american-dream-cocktail-recipe-760490,"['american', 'dream']","The American dream is a cute and tasty patriotic cocktail that is ideal for any American-themed occasion like the Fourth of July. It is the creation of Bridget Albert, Master Mixologist and author of ""Market-Fresh Mixology."" It is a fantastic mix of pomegranate and cherry, featuring a black cherry rum and Pama Liqueur. The real magic, however, is the use of fondant, which you can buy from cake or candy suppliers. This candy paste is cut into miniature stars and stuck to the inside of the glass before straining the drink. It creates a fun, star-studded presentation and is an idea you can use with any red or blue cocktail.",https://www.thespruceeats.com/thmb/AYNBZIH-mOUXdzL2CO7ZM7GMC3o=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/AmericanDream-PAMACocktail-hrz-577400a05f9b58587527946f.jpg,"['1 ounce pomegranate liqueur (Pama)', '1 ounce black cherry rum', '1 1/2 ounces pomegranate cherry juice (POM Wonderful)', '1/2 ounce sour mix (fresh)', 'Garnish: white fondant stars', 'Garnish: blueberries']",6
['campari'],americano,https://www.thespruceeats.com/americano-cocktail-recipe-759279,['americano'],"The Americano is a gentle introduction to the unusual and bitter taste of Campari. It is a fascinating drink with a long and rich history and it was the first cocktail mentioned in the James Bond novels. This is an iconic and delightful aperitif that you can enjoy before any meal. The cocktail recipe itself is extremely simple. All you need to do is pour equal parts of Campari and sweet vermouth over ice and fill the glass with soda. It's about as refreshing as a Campari cocktail can get and the bitter-sweet taste will delight your palate. That is not to say that the Americano is for everyone. The flavor profile is decidedly Campari, which is bitter and not in line with the inherent tastes of many Americans. Yet, if you can give it a chance and train your palate to enjoy Campari, the Americano will soon become a favorite.",https://www.thespruceeats.com/thmb/kAYM7wbI3ILD_S6TyYEL5pEpyG0=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/_americano-cocktail-recipe-759279-hero-5bc4ea1046e0fb00269949bd.jpg,"['1 1/2 ounces Campari', '1 1/2 ounces sweet vermouth', '3 ounces soda water (or club soda, as needed to fill glass)', 'Garnish: lemon twist or orange slice']",4
['rum'],anejo highball,https://www.thespruceeats.com/dale-degroffs-anejo-highball-cocktail-recipe-760491,"['anejo', 'highball']","The Anejo Highball is one of the great modern cocktails and it's one that everyone should try and every bartender should know. Dale DeGroff created the drink in 2000 as a tribute to Cuban bartenders of the  early 1900's. The anejo (or old) rum really makes this drink, so it's best not to skimp on that ingredient or the orange curacao for that matter (Cointreau is a worthy substitute). This is simply a  great mixed drink, especially for summer or anytime you want a taste of the Caribbean without getting too fruity.",https://www.thespruceeats.com/thmb/kjzr9OcFV1R3WAhAb1BOv6ai9QY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/lime-cocktail-139826467-5a4b85b0c7822d0037180307.jpg,"['1 1/2 ounces rum (anejo)', '1/2 ounce orange curacao', '1/2 ounce lime juice', '2 dashes Angostura Bitters', '2 ounces ginger beer', 'Garnish: 1 lime wheel', 'G arnish: 1 orange slice']",7
['gin'],angel's delight,https://www.thespruceeats.com/angels-delight-cocktail-recipe-759280,"['angels', 'delight']","The angel's delight is a wonderful dessert cocktail to serve at a dinner party. It's an unusual gin cocktail in that it uses triple sec and cream. And that pretty pink color comes from a hint of grenadine, which adds to the sweetness. Surprisingly, all of that works very well when it comes together. While it's definitely not the typical flavor profile for gin, the spirit's botanicals are rather nice against the creamy fruit taste. Just be sure not to overdo it on the cream. A little too much can throw off the drink's balance.",https://www.thespruceeats.com/thmb/dYBJkL-CNrR4kIvdD0B30xl-FbE=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/AngelDelight-Dollarphotoclub_62457582-56a170f75f9b58b7d0bf5045.jpg,"['3/4 ounce gin', '3/4 ounce triple sec', '1 ounce cream', '2 to 3 dashes grenadine ']",4
"['chocolate liqueur', 'cherry liqueur']",angel's tit,https://www.thespruceeats.com/angels-tit-cocktail-recipe-759575,"['angels', 'tit']","The angel's tit is a classic example of a pousse-cafe, a category of multi-layered drinks that are as beautiful as they are delicious. The drinks are predecessors to today's myriad of layered shots and the popular B-52 shooter started out in a pousse-cafe glass. They're amazing dessert cocktails, often offering indulgent flavors like the chocolate, cherry, and cream seen in this cocktail. This particular recipe comes from the Prohibition era of the 1930s, when it was known as the angel's tip. According to Gary ""Gaz"" Regan's book, ""The Joy of Mixology,"" it was also called the witch's tit by some. Whatever you call it, the cocktail's name likely came from the look of the finished cocktail: a creamy mountain topped with a cherry in exactly the right place. At any rate, it is an excellent indulgence and there are many variations on the drink that you can try.",https://www.thespruceeats.com/thmb/_q0-eIS58diUbjl2WPvFt4-VZxc=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/AngelsTit-135579954-56a172293df78cf7726ab72e.jpg,"['1 ounce creme de cacao', '1 ounce maraschino liqueur', '1 ounce half and half', 'Garnish: maraschino cherry']",4
['wine'],aperol spritz,https://www.thespruceeats.com/aperol-spritz-cocktail-recipe-759259,"['aperol', 'spritz']","Easy and refreshing, the Aperol Spritz is a drink you will want to try. It is the signature drink of Aperol, a bittersweet orange-flavored aperitif made in Italy using a secret blend of herbs and roots. The liqueur was developed in 1912 and this cocktail came about in the 1950s. The brilliant orange drink has been a favorite dinner party aperitif ever since and pairs perfectly with whatever food is on the table. Sometimes called the ""Aperol Spritz ritual,"" there's a certain order to the pour with this recipe. The ice goes in first, then the Prosecco (a sparkling Italian wine) followed Aperol, then a splash of soda. The drink is typically left unstirred, relying on the bubbles of the wine and soda to do the mixing.",https://www.thespruceeats.com/thmb/4QC3Ij9zze3F9QbPcd5aKLBP8_Y=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/_aperol-spritz-cocktail-recipe-759259-hero-02-5bc4ebd9c9e77c00510a1d52.jpg,"['2 ounces Prosecco (Cinzano)', '2 ounces Aperol', 'Splash soda', 'Garnish: orange slice']",4
['vodka'],apple cider martini,https://www.thespruceeats.com/apple-cider-martini-recipe-760932,"['apple', 'cider', 'martini']","This apple cider martini recipe is not your average apple-flavored martini. It has a couple of extra flavors that make it a multi-dimensional tasting experience and a very interesting cocktail. It's designed more for drinkers who enjoy drier drinks over the super-sweet appletinis. The drink was created by and features Ultimat Vodka, which is ultra-smooth and clean. It provides a nice base for the apple and ginger combination. The velvet falernum, which is essential in many tiki cocktails, is the finishing touch that brings everything together. It's a fantastic fall cocktail that makes a pleasant addition to any party or occasion, even if it's just dinner at home.",https://www.thespruceeats.com/thmb/PKhEsmQZEPLx_vDGfXnmHBYW1cA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-153082333copy-5bca30b8c9e77c002db769eb.jpg,"['1 3/4 ounces vodka (Ultimat Vodka)', '1 1/2 ounces apple cider', '1/4 ounce ginger liqueur', 'Splash velvet falernum']",4
['vodka'],apple crisp,https://www.thespruceeats.com/apple-crisp-cocktail-recipe-760933,"['apple', 'crisp']","The apple crisp cocktail is designed to replicate the delicious taste of apple crisp in a glass. It does a fair job of it, too. The only thing it's really missing is the oat topping and ice cream, though you could certainly serve a scoop of vanilla alongside this drink for a dessert pairing that completes the experience. This recipe is courtesy of UV Vodka and features their sweet cake-flavored vodka. That is paired with a spiced whiskey from Revel Stoke and the duo is accented with maple and apple. The result is a spicy, sweet dessert cocktail that is balanced and not too sugary, making it an ideal comfort cocktail for chilly autumn days.",https://www.thespruceeats.com/thmb/Kdw6_tGXnINf2jIVVWAiQVtiAVY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/AppleCrispCocktail-GettyImages-740520591-H-5c7be3c9c9e77c0001f57c3e.jpg,"['1 ounce cake-flavored vodka (UV Cake)', '1 ounce spiced whiskey (Revel Stoke Spiced Whisky)', '1/2 ounce maple syrup', '2 ounces apple juice', 'Garnish: ground cinnamon']",5
['tequila'],apple margarita,https://www.thespruceeats.com/apple-margarita-recipe-759577,"['apple', 'margarita']","Apple margaritas are a lot of fun to drink and a favorite flavor among the many different margaritas you could mix up. While there are a variety of recipes out there, this apple margarita is one of the better options because it doubles up on the fruity flavor. This particular recipe works both frozen and on the rocks. It's often made with Apple Pucker, though any brand of apple liqueur will do just fine. When made with Pucker, the cocktail gets a brilliant green color and the apple juice helps bring balance to the drink, taming down that tart punch the liqueur is known for.",https://www.thespruceeats.com/thmb/G8nEyUucuhYAUfJ89qx1qUg2P-w=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/AppleMargarita-143158716-56a170b95f9b58b7d0bf4f00.jpg,"['1 cup of ice', '1 ounce tequila', '1 ounce apple liqueur', '1 ounce apple juice', '1/2 ounce sour mix', 'Garnish: green apple wedge', 'Garnish: cinnamon sugar (for rim)']",7
['vodka'],apple martini,https://www.thespruceeats.com/apple-martini-recipe-759579,"['apple', 'martini']","Call it an apple martini or an appletini, either way, it's a sweet, delicious, and fun cocktail to mix up and a nice break from the classic gin martini. Whether you're looking for a sweet and sour, electric green drink or one with a true apple flavor, there's sure to be an apple martini recipe for you. Appletinis are among the most popular fruit martinis in the modern bar. The recipes are quite diverse and the majority feature vodka. While a few use apple brandy or liqueur, others use apple cider or juice. Sour apple martinis use green apple schnapps and are a favorite for many drinkers. If you're looking for the greenest color for your appletini, this is an ideal recipe. The flavor of this particular schnapps can be quite sweet, so a touch of lemon juice is added for balance.",https://www.thespruceeats.com/thmb/B-rkkeG7GSVyeMcM6wYRbCmLsUw=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/apple-martini-recipe-759579-6878_preview-5b241717a474be0036f49406.jpeg,"['1 1/2 ounces vodka', '1 ounce green apple schnapps', '1/4 ounce lemon juice', 'Garnish: apple slice']",4
['vodka'],apple pie martini,https://www.thespruceeats.com/apple-pie-martini-recipe-760994,"['apple', 'pie', 'martini']","The Apple Pie Martini is everything we love about the 'Appletini' set of cocktails, it simply takes a different spin on the flavor. Filled with the taste of Grandma's apple pie, this easy vodka cocktail is a delight come autumn and it will keep you satisfied through the winter months. Apple Martini recipes are everywhere and it's nice to have a recipe that's a little different, a little special, and a little less 'puckery.' This recipe fits the bill perfectly and combines sweet vanilla with apple cider and cinnamon. The result is a comforting, warming effect that reminds you of homemade apple pies, the holidays, and fond memories of family and friends.",https://www.thespruceeats.com/thmb/ZTWGmO5uQhXHBo_dAq0Y6ecIbng=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/ApplePieMartini-153082333-56a171133df78cf7726aacce.jpg,"['1 1/2 ounces vanilla liqueur', '1 ounce premium vodka', '2 ounces apple cider', '1 teaspoon ground cinnamon', 'Dash lime juice (fresh)']",5
['whiskey'],apple sour,https://www.thespruceeats.com/apple-sour-recipe-761407,"['apple', 'sour']","Styled after the classic whiskey sour, this apple sour recipe is an enjoyable experience for everyone. Whiskey lovers will enjoy the fruity twist on an old favorite and apple martini fans will find it to be a nice change of pace. It also features the real flavor of apple, not some syrupy-sweet, far-too-sour concoction that imitates the fruit. Apple is a good fruit flavor for a sour-style cocktail, yet the majority of the apple sour recipes are designed to make you pucker. Quite literally, in fact, because they often feature De Kuyper Sour Apple Pucker. Not so with this recipe, which takes an entirely different approach. The cocktail does not have a strong apple flavor, nor a strong sour. Instead, it is a delicate balance that is quite delicious. It's a drink that you can relax with during happy hour, makes a delightful sipper for a casual weekend at home, and it's a nice complement to almost any meal.",https://www.thespruceeats.com/thmb/Z2pme6VCo0Oo_nUGGCjgyRy3OGg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Sour-Cocktail-56a172523df78cf7726ab896.jpg,"['1 1/2 ounces bourbon', '1 1/4 ounces apple juice', '3/4 ounce triple sec', '1/4 ounce lemon juice', '2 dashes orange bitters']",5
['brandy'],apricot sour,https://www.thespruceeats.com/apricot-sour-cocktail-recipe-759410,"['apricot', 'sour']","Sour drinks come in many flavors and, as you might expect, the Apricot Sour features the taste of apricots. That's apricot brandy, to be exact, and it's a fabulous, simple cocktail that anyone can enjoy As is the case with many 'sour' drinks, to make this one we take the popular Whiskey Sour formula and simply substitute apricot brandy for the whiskey. It's a quick switch and one of the great aspects of the sour family of cocktails. Once you know how to make one, it's very easy to figure out the others. There are a few ways that you can approach the Apricot Sour and we'll explore those options below the recipe. No matter how you mix it, one thing's for sure: this is  a great and classic cocktail.",https://www.thespruceeats.com/thmb/dMdYsLk9vXQfZbVOK75W3I9WnjE=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/manhattan-cocktail-with-lime-and-cocktail-cherry-98911388-5894ffce3df78caebc18c992.jpg,"['2 ounces apricot brandy', '2 ounces sour mix']",2
['brandy'],apricot sunray,https://www.thespruceeats.com/hennessy-black-apricot-sunray-759396,"['apricot', 'sunray']","The apricot sunray is an exotic variation of two popular punch recipes, the sangria and Champagne punch. As in both of those, there is a lot going on in this drink and every ingredient is special on its own. The recipe was created to showcase Hennessy Black. This great Cognac offers hints of jasmine, daffodils, and orange flowers among its flavorings, and the Chandon Brut is a wonderful dry sparkling wine to pair with it. Those are accented beautifully by the apricot and blood orange ingredients as well as lemons and brandied cherries. This is an impressive punch that will please any crowd, offering a unique taste that is sure to get noticed. The recipe's also large enough for a nice-sized party so no one will go thirsty.",https://www.thespruceeats.com/thmb/WoLW6Ra2FIf-s_hW-7jQ1VpoG6I=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/ApricotSunray-162752176-58aef9d15f9b58a3c9255de4.jpg,"['1/2 750 ml bottle Cognac (Hennessy Black)', '1 750 ml bottle sparkling wine (Chandon Brut)', '24 ounces apricot liqueur (Orchard)', ""12 ounces apricot nectar (Kern's)"", '12 ounces lemon juice (fresh)', '32 ounces blood orange juice (fresh)', '15-20 apricot slices', '5 thinly sliced lemons', '1 blood orange (halved, thinly sliced)', '12 brandied cherries']",10
['vodka'],april rain,https://www.thespruceeats.com/april-rain-cocktail-recipe-759580,"['april', 'rain']","Bright, refreshing, and just slightly dry, the April rain is a wonderful cocktail that's sure to put you in a spring mood. It's a simple variation on the vodka martini that gives the popular cocktail a lime twist. What is nice about this recipe is that it has a drier profile than other lime-flavored martinis. The only sweetness comes from the lime juice, which simultaneously adds a little sour to the drink. It's uplifting and a nice change from the sweet, fruity vodka martinis that are so popular. You'll find that the April rain makes an excellent dinner cocktail. Enjoy one before the meal as an aperitif or with dinner as it's a delightful palate cleanser for any type of food, even spicy dishes.",https://www.thespruceeats.com/thmb/pp2QQ1Xp4Go9aAKY1uGgoVLELOI=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/april-rain-56a170e13df78cf7726aab84.jpg,"['2 ounces vodka', '1/2 ounce lime juice (fresh)', '1/2 ounce dry vermouth', 'Garnish: lime peel']",4
